text,rating_1,rating_2,rating_3,rating_4,rating_5
"
 On the recommendation of a Yelp Elite friend we stopped in for lunch while on a quick trip to Vegas. The staff is super friendly and they have a great selection of food. We had a 3 year old with us and she enjoyed the food. We had the kabobs with french fries, hummus and the greek salad. Everything was great. Know before you go: There is another pita restaurant right across the street called Pita Pit, not the same thing at all. DOS 5/19/14 ",0,0,0,1,0
"
 Met a friend for lunch here one day. Decent place. Not too crowded for a campus town spot. At the suggestion of my friend, I opted for the Nacho plate. Huge serving and it was quite good. Everything is firehouse themed, as far as the menu is concerned and so many of the burgers and sandwiches and wraps sounded delicious. Will have to go again sometime and try one. Service was quick and friendly. ",0,0,1,0,0
"
 I stayed here in July when a friend and I went to Montreal for the weekend. It was an okay hotel. It was just a very old building so the rooms felt very old style. The doors of the hotel was very bulky and old. The cleaning ladies kept waking us up everyday at 8am and we had to send them away- they DIDN'T GIVE US ANY PRIVACY SIGNS. However, the front desk were REALLY friendly people, and they chatted us about things to do and where to go. Super nice customer service. The TV is not a flat screen, which by now, is considered old. The room was around $215 a night. Location is great though! Walking distance to everything you need- we went to Old Montreal, Basilica, Chinatown. For the price, it wasn't so bad. ",0,0,1,0,0
"
 I normally order all different dishes when i go there because i know i will most likely like it. I love their hot and sour soup and their chicken lettuce wraps. It's really close to my work, so it's easy to just walk over and eat lunch there with a co-worker. But i will say that they ask you how everything is a little too often. But overall service is great. ",0,0,0,1,0
"
 I'm not really sure how to rate this place. I got a steak, mashed potatoes and peas & carrots. Peas & carrots...nuff said, I was unaware that they accompanied the meal. My steak was so tough that running over it with my truck tire wouldn't even tenderize this thing!!!!! But....it had the best flavor. Now on to the mashed potatoes, once again good flavor but I could have made a shovel stand up on my plate they were so thick! ",0,1,0,0,0
"
 This was a decent choice for what I would consider to be a middle of the road average restaurant. We headed to NYNY hotel in search of dinner. We had no clue where we would end up but knew there would plenty of choices. This was the first place we saw and we decided to go with it. The bread was delicious and I could tell the olive oil was a decent quality. Not the best I've ever had, but for the price point certainly not the worst. We did have to ask for cheese, but they brought it over right away. As with every single restaurant in Vegas they are slow with water service. I guess they want people to pass out? The pollo al peperoncino sounded so amazing all 3 of us ordered it. It was chicken marinated with rosemary, sage, thyme, crushed red pepper, white wine, Dijon mustard and lemon. It was really good! The chicken was so tender and cooked perfectly. I'm sure the pasta was better (just a preference) but I knew I needed protein and to lay off the carbs! The saut \ u00e9ed spinach and potatoes served with the dish were a bit of a let down. I felt for the prices this was one of the better meals I had in Vegas this go around. The entrees were in the $18-26 range. I've had sub sandwiches in food courts in Vegas cost more than that. The staff was friendly and seemed to accommodate us pretty quickly. I just wish they would step up the game with water in all of these hotels! I know it's the desert, but you have dehydrated drunks running around! ",0,0,0,1,0
"
 -soggy rubbery crepe -cheap oj, tastes like minute maid -Potatoes gratin tastes cheap with a Mac n cheese flavor I wanted something classic so I got the maple cream crepe with coffee and oj and a side of Potatoes. Maple syrup wasn't high quality. I won't be back. ",0,1,0,0,0
"
 The food was really great, we sat at the bar and after we were finished with our sushi we watched one of the sushi chefs pick his nose... Oh yes. Not only did he not wear gloves, not only did he pick his nose... but after he picked his nose he rolled whatever was in his fingers into the palm of his hand and looked at it!!! When he was done picking his nose he stuck his hand in the steamed rice cooker, and went on to prepare more sushi. We had ordered two more rolls before witnessing this, so we asked our waiter for a to go box, the box and its contents were left on the chairs outside. Upon our arrival to Sushi Creek we sat at the bar for at least 5 minutes before anyone acknowledged our presence. The Nose Picker stood behind the bar drinking his coffee flavored Monsters beverage, and glanced at us a few times. Our waiter finally came around, he was very nice and somewhat attentive. The (Japanese?) woman sushi chef, wore gloves and changed them often, she was also very nice. (It's not so much the not wearing gloves that bothers me about The Nose Picker, you could not wear gloves and wash frequently. Just don't pick your nose and the prepare food!!!). The hostess and at least 4 other waitresses spent the majority of their time talking to a regular customer about some girl being punched in the face and about how the other waitress got dumped a day after her birthday and was pissed about it. The entire time we were there, the really old waitress with the auburn-ish colored hair, with an iphone with a blue cover; did not wait on another customer while we were there... for an hour and a half she just stood in front of this old guy, that was it! Another annoyance that really started to bother us after The Nose Picker incident was that the old guys phone (which was on the bar) kept vibrating. This wouldn't have mattered so much, however the vibration was so powerful that by the end of the short time we were there we so fed up. We were sitting more than 6ft away and could hear the entire conversation with the waitresses, including watching several other staff walk in from the back to 'hang out'. Then we watch the woman sushi chef eat her dinner behind the bar as well as other staff eat their dinner. The food is good, until we saw the extra ingredients that weren't on the menu being added. Service was poor. We will not be dining here again. ",1,0,0,0,0
"
 The paper itself is short on content - with a cheap feel. The website - OK - but short on real content, lots of ad links, news available elsewhere with cleaner designed and faster loading pages. Customer Service - poor - they seem to be unable to cancel a bill for a nonexistent subscription, and unable to explain new emails thanking me for setting up a new subscription and looking to establish ""EZPay"" even though no subscription was initiated. Overall - better news elsewhere. Wish the few good writers would get together and form a quality subscription service - that I'd pay for. ",1,0,0,0,0
"
 Good prices, fast service. great option if you're hungry past 10 or want to eat before a movie at Sam's town. Desert menu is really good too. Try and sit by the bar instead of a table so you can take advantage of the happy hour prices on drinks and appetizers ",0,0,0,1,0
"
 it's not a very good airport they dot not have the airlines listed next to the terminal signs when you enter the airport and you have to drive a couple miles if you wanted to rent a car. the inside is not all that in terminal 2,3 or 4. ",0,1,0,0,0
"
 I found this coffee shop through yelp as I was meeting some clients in the area. Location is good, but it was difficult to find the coffee shop as it located behind a barbershop. Seating is very limited with just a few tables. The service was slow and the coffee was good. I had French press coffee with a snickerdoodle cookie. This is a good place to go to meet a friend but not recommended for a business meeting. ",0,0,1,0,0
"
 I've eaten here a half dozen times. The Shrimp burrito is worth the trip. Service is so-so. Bean and cheese burrito is good to. ",0,0,0,1,0
"
 So I eat here and pay the tab with my credit card and the lady comes over and tells me my card declined, so I call my credit card and they say it went through, so I pay cash for my lunch.. So this stupid lady got paid twice for my Food.. It's not fair ",1,0,0,0,0
"
 I really liked this place right from when I walked in the door. I always bring my own nail polish (in case of touch ups later) so I can not attest to the color selection. They were super busy but still had me in a chair to get a pedicure in a minute or two. The pedicure was pretty good. The only better one I had was $100+ one from a resort spa. The woman used mint lotion and then put the hot wet towel over my feet and legs which felt amazing. Then I got a manicure, which I wasn't planning on but they had a special for mani + pedi = free brow wax which I couldn't pass up. The manicure was nice. They have these fan shelves for your hands between coats. I liked that perk a lot since I haven't seen it anywhere else. The only reason they don't get 5 stars is because the waxing part was unpleasant. They did a good job but the wax was a lot hot and the woman rushed though it even though it came out good. Brow wax is something that should have be rushed. Overall this place will definitely be getting more of my business and my friends. I might try to come on a weekday afternoon though since it was pretty busy. ",0,0,0,1,0
"
 This is College of Southern Nevada's Hospitality/Culinary Dept's restaurant. The front of the house staff are students in the school's Restaurant Management class. The food are prepared by Culinary Arts students in one of the Culinary Department's restaurant classes (e.g., Aromatics, French, International), with menu changing daily during the weeks that the instructional restaurant is open. This is a sample menu prepared by students in the Aromatics class from 10-14-2008: Choice of Soups or Salads Butternut Squash Soup with Garam Masala or Wild Rice Soup with Fresh Marjoram, Seasonal Mixed Greens with choice of Maytag Blue Cheese Dressing, Apple-Walnut Vinaigrette, or Asian-Orange Vinaigrette. Choice of Entr \ u00e9es: Grilled Marinated Ahi Tuna served with Fried Wasabi Potato Cakes and Hot and Spicy Eggplant with toasted Sesame Seeds. Linguine tossed in White Clam Sauce with Littleneck Clams and Fresh Oregano. Curried Lamb and Vegetable Stew served over Cous-Cous with Mint Chiffonade. One of 3 Dessert selections prepared by Pastry Students in the program. All meals include Homemade Bread or Rolls prepared by CSN Culinary Arts Students under the direction of Master Pastry Chef/Professor Rudi Eichler and Pastry Chef/Instructor Ms. Jody Lee. Price $7.95 (tax included, tips goes toward CSN Scholarship fund) North Las Vegas is far for most ppl, especially with the freeway and road constructions currently causing havoc on Las Vegas roads, but if you are in the area it is well worth the drive. The dessert that is served alone can cost $7+ in a typical restaurant with its own Pastry Chef. This is literally the best deal in town when the school is in session. ",0,0,0,0,1
"
 4 stars because its a good drunchies late in the hour. But honesty, everyone makes it out to be the best sandwich in the world... It's not THAT good. ",0,0,0,1,0
"
 Kind of creepy walking around the halls at night because it's dark and you just get this eerie feeling. Plus the halls kind of wrap around the center of the pyramid and there's nothing really pleasant to look at at the bottom of it all. I don't know how to explain it better and I wish I still had the picture I took... Anyway, I didn't stay here but I visited my friend's room and it's definitely NOT one of the nicer places to stay on the strip. I'm sure the price reflects it though, right?? Oh well, not like you spend much time in there so I guess it doesn't matter TOO much. But eh you're in Vegas might as well splurge for a nicer place ",0,1,0,0,0
"
 High quality ice cream, great flavors, and a Pittsburgh original. What more could you want? :) ",0,0,0,1,0
"
 Not so good. Got very sick after eating the mahi mahi and macaroni salad. ",1,0,0,0,0
"
 Worst service ever! Didn't have many domestic beers an the they where not draft. We had to ask our waiter for everything. ",1,0,0,0,0
"
 We returned to Star of India recently to enjoy the lunch buffet on a weekend. The restaurant was pretty empty the last three times we've been here--I hope that's not a bad sign! The buffet is somewhat limited as others have noted. There is stuff to make salad, plus about 8 entrees, various sauces, rice, naan, a few desserts, and Indian tea. Everything is quite delicious, but if you are looking to sample a wide variety of Indian cuisine, this won't quite do the trick. The entrees are quite filling though--I really had to press myself to try a little bit of everything. You will leave feeling like you just ate enough to last for two days! I find the staff to be quite helpful and friendly, as well. ",0,0,0,1,0
"
 I was pleasantly surprised by a recent and first visit to Osteria Papavero. Upon arrival on a Monday evening around 6 PM I was a little concerned that we were the only patrons. Further, the interior is very casual, dare I say ""Ikea-esque"" but perfectly comfortable. Upon being seated we were handed a pretty light menu with few options. The chalk board at the north end of the dinning room helped our waitress explain a few of the available specials that night. What was offered included fresh seafood such as Octopus along with Halibut and a beef dish a friend ordered. I don't remember all the details but what I do remember is that the food was excellent, fresh, creative, and unique. In fact, it was the first time I'd been served an entire whole octopus though I've ordered octopus many a time. This is going to be a short review cuz I just want to get it in but rest assured, this is about as close as you're going to get to European style dinning in the Midwest. There are certainly more upscale Italian restaurants and there are certainly more traditional Italian restaurants but Papavero gives you a real feel for freshly prepared, creative food. I truly enjoyed my meal there. ",0,0,0,1,0
"
 Scheduled my appointment online, fast and easy. Used to go to the one on Scottsdale Rd., they closed that one down, guess 2 stores within 1 mile of each other isn't good for businesses. They are trained to replace your tires and wheels and nothing else, so you know you will get the highest quality of helps from them and they won't try to sell you anything that you don't need. They will recommend you the products and never be pushy about it. One thing they need to improve is to maybe have a free Wi-Fi service. But do give them a chance if you have never come here before! ",0,0,0,0,1
"
 They are open late which is awesome! This wasn't the best nail job I've had but it wasn't the worst. Pro's: Full set took 40 minutes so if you're in a hurry this works for you! Clean, relaxing atmosphere Super nice staff Whatever top coat was used dried super fast Inexpensive - $25 for full set Con's: Did not trim my cuticles Did not file the tips down to my finger size so I had to re-file when I got home Some are thicker than others, some are thick on one side and thin on the other My nails started popping off after 2 weeks I will not come back due to the quality. I suggest only going here if you waited too late and everything else is closed. ",0,1,0,0,0
"
 They should add a tagline to Nicky's Thai Kitchen as Thai food heaven. If you are from out of town (like me), don't be fooled by the entrance of this restaurant. Once you go it, just ask for a table outside and you would be surprised to see the decor and the Thai cultural design of their outdoor seating. My wife and I visited the National Aviary which is less than a mile from this restaurant. We spent almost 5 hours at the aviary and wanted to eat lunch at around 3PM. So, I looked up nearby Thai restaurants on Yelp and Nicky's shows up first on the list. Quick look at the reviews and menu on my phone and we were on our way to check this place out for ourselves. Luckily found metered parking right in front of the restaurant. We entered not being very sure how much longer the restaurant will be open for lunch. There were hardly any people dining inside the restaurant. My wife asked to be seated outside even though it was around 90+ degrees heat. When we walked out through the wooden structures and plants and golden buddha statues and entered the outdoor seating area, it was 75% occupied and the Sun didn't even seem to bother any of us. The menu is extensive with all the traditional Thai dishes. We ordered a veg fried rice and a eggplant stir fry with tofu. Both the dishes came with a choice of soup or salad. Everything tasted real good and the staff service was very nice. We clicked a ton of pictures of the place as it was very beautifully done with waterfalls and statues and wooden wheels etc. When the bill finally arrived it was less than $20 for a heavy meal with excellent service and ambience. ",0,0,0,0,1
"
 Went on the Saturday before valentines day. Had a lot of balloons in the air with perfect weather. Bored to death. Our pilot didn't travel the balloon outside a short block radius while all th other ballons got a ton of altitude and distance. I would never suggest a hot air balloon ride to anyone in phx. Save it for Sedona or some other location that is much more scenic. I would suggest staying on the ground and watching them in the sky. ",1,0,0,0,0
"
 Maybe it was all the hype, maybe it was the high prices, or maybe it just wasn't that good. I dunno, I suppose that I have high standards when it comes to a sandwich - and in all my years this is the 1st Italian sandwich I've ever had that just overwhelmed me with sweetness (for the record, NOT a flavor most want on a sandwich not involving peanut butter or Nutella). I'm guessing it was the mustard that caused the sweet flavor - taking that off might improve the whole thing greatly - but it was also soggy by the time I got home. Major points for the modern age Coke machine (with a gajillion flavor combinations) but that's not enough to woo me. It's a good idea to steam your meats and cheeses, I imagine that does change the flavor profile a bit, but not enough to charge me ten bucks for a soggy / sweet footlong. I might be back, but mostly for the freakin' cool soda machine. Until they can be beaten, Jersey Mikes still takes the pickle for one of the best sandwich franchises ever. ",0,0,1,0,0
"
 This is a fun place to go if you don't have to pay any cover, which usually runs around $25 on weekends. Otherwise, save your money and go somewhere else. Suggestion: Tao for the clubbers, Caramel for the loungers, and Body English for the small venuers. We were hotel guests and didn't have to pay admission. It helps to pick one go-to bartender and tip him/her well. Why? It usually leads to free drinks and getting away with a lot of ridiculous stuff (i.e. my gf walked off with whip cream and a full cup of cherries). The crowd is not so good looking with mostly wannabes from East to West. Guy to girl ratio is poor ... although if you're a girl looking for any type of male attention, this is the place. There were a lot of bachelor parties, men in their 40s plus, and girl groups who didn't know better. Rumjungle used to be the IT place but not now. Regardless, I'm giving it 3 stars because we had a lot of fun due to 1) no cover, 2) free drinks, and 3) short trip home (only one elevator ride away). ",0,1,0,0,0
"
 Food is enjoyable and portions are big. Tried there Jamaican chicken wings and jerk shrimp. Both were average. ",0,0,1,0,0
